,Event date,State Code,Country,Injury severity,Aircraft damage,Make,Model,Number of engines,Engine type,FAR description,Purpose of flight,Total fatal injuries,Total serious injuries,Total minor injuries,Total uninjured,Weather condition,Report status,Region,Year,Total passengers,Total injuries
58596,2005-05-10,MN,United States,Non-Fatal,Substantial,Mcdonnell douglas,DC-9-51,2.0,Turbo Fan,121,Unknown,0.0,1.0,7.0,137.0,VMC,Probable Cause,Midwest,2005,145.0,8.0
58607,2005-05-12,MO,United States,Incident,Unknown,Boeing,717-200,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,80.0,IMC,Probable Cause,Midwest,2005,80.0,0.0
58608,2005-05-12,NV,United States,Fatal(2),Destroyed,Beech,95-B55,2.0,Reciprocating,Unknown,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,West,2005,2.0,2.0
58615,2005-05-13,CO,United States,Non-Fatal,Substantial,Mcdonnell douglas,MD-88,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,98.0,VMC,Probable Cause,West,2005,98.0,0.0
58649,2005-05-17,CO,United States,Incident,Minor,Boeing,737-322,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,187.0,VMC,Probable Cause,West,2005,187.0,0.0
58650,2005-05-17,CO,United States,Incident,Minor,Boeing,737-322,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,187.0,VMC,Probable Cause,West,2005,187.0,0.0
58663,2005-05-19,MO,United States,Incident,Minor,Embraer,EMB-145LR,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,54.0,VMC,Probable Cause,Midwest,2005,54.0,0.0
58691,2005-05-23,MS,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,2005,1.0,0.0
58731,2005-05-28,CO,United States,Incident,Minor,Mcdonnell douglas,DC-9-82,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,114.0,VMC,Probable Cause,West,2005,114.0,0.0
58748,2005-05-30,CO,United States,Incident,Unknown,De havilland,DHC-8-202,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,40.0,VMC,Probable Cause,West,2005,40.0,0.0
58749,2005-05-31,NJ,United States,Non-Fatal,Substantial,Swearingen,SA-226T,2.0,Turbo Prop,Unknown,Personal,0.0,1.0,0.0,0.0,VMC,Probable Cause,Northeast,2005,1.0,1.0
58763,2005-06-03,LA,United States,Fatal(2),Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Personal,2.0,0.0,0.0,0.0,VMC,Probable Cause,South,2005,2.0,2.0
58777,2005-06-05,IN,United States,Non-Fatal,Unknown,Boeing,757-223,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,1.0,160.0,VMC,Probable Cause,Midwest,2005,162.0,2.0
58782,2005-06-07,KY,United States,Non-Fatal,Substantial,Mcdonnell douglas,MD-11F,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,2005,4.0,0.0
58790,2005-06-07,DC,United States,Fatal(1),Minor,Embraer,170,2.0,Turbo Prop,Unknown,Unknown,1.0,0.0,0.0,2.0,VMC,Probable Cause,South,2005,3.0,1.0
58798,2005-06-09,MA,United States,Incident,Unknown,Boeing,737-3B7,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,448.0,VMC,Probable Cause,Northeast,2005,448.0,0.0
58799,2005-06-09,MA,United States,Incident,Unknown,Airbus,A330-301,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,448.0,VMC,Probable Cause,Northeast,2005,448.0,0.0
58800,2005-06-09,TX,United States,Fatal(1),Destroyed,Beech,76,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,2005,1.0,1.0
58812,2005-06-10,NE,United States,Non-Fatal,Minor,Airbus,A-319-114,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,0.0,126.0,VMC,Probable Cause,Midwest,2005,127.0,1.0
58840,2005-06-13,AZ,United States,Non-Fatal,Substantial,Beech,C90,2.0,Turbo Prop,Unknown,Personal,0.0,2.0,0.0,0.0,VMC,Probable Cause,West,2005,2.0,2.0
58841,2005-06-13,FL,United States,Non-Fatal,Destroyed,Douglas,R4D-8,2.0,Reciprocating,Unknown,Business,0.0,3.0,0.0,0.0,VMC,Probable Cause,South,2005,3.0,3.0
58853,2005-06-15,AK,United States,Non-Fatal,Substantial,Aerospatiale,ATR-42-300,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,3.0,IMC,Probable Cause,West,2005,3.0,0.0
58897,2005-06-19,UT,United States,Incident,Minor,Boeing,737-524,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,104.0,VMC,Probable Cause,West,2005,104.0,0.0
58912,2005-06-22,AZ,United States,Non-Fatal,Destroyed,Beech,BE76,2.0,Reciprocating,Unknown,Instructional,0.0,0.0,3.0,0.0,VMC,Probable Cause,West,2005,3.0,3.0
58927,2005-06-23,LA,United States,Fatal(5),Destroyed,Beech,E90,2.0,Turbo Prop,Unknown,Personal,5.0,0.0,0.0,0.0,VMC,Probable Cause,South,2005,5.0,5.0
58959,2005-06-26,CO,United States,Incident,Minor,Beech,1900D,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,19.0,VMC,Probable Cause,West,2005,19.0,0.0
58960,2005-06-27,CA,United States,Non-Fatal,Substantial,Boeing,727-230,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,West,2005,3.0,0.0
58977,2005-06-29,ds,Netherlands,Incident,Minor,Airbus,300B4-200,2.0,Turbo Fan,"Non-U.S., Commercial",Unknown,0.0,0.0,0.0,279.0,Unknown,Foreign,Unknown,2005,279.0,0.0
58988,2005-07-01,TX,United States,Non-Fatal,Substantial,Learjet,25,2.0,Turbo Jet,091,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,South,2005,4.0,0.0
58994,2005-07-01,WA,United States,Fatal(2),Destroyed,Beech,E-55,2.0,Reciprocating,Unknown,Personal,2.0,2.0,1.0,0.0,VMC,Probable Cause,West,2005,5.0,5.0
59052,2005-07-08,IL,United States,Non-Fatal,Substantial,Boeing,737-7H4,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,110.0,VMC,Probable Cause,Midwest,2005,110.0,0.0
59074,2005-07-11,NC,United States,Non-Fatal,Unknown,Boeing,767-232,2.0,Turbo Fan,121,Unknown,0.0,1.0,0.0,186.0,VMC,Probable Cause,South,2005,187.0,1.0
59092,2005-07-14,IN,United States,Non-Fatal,Substantial,Aerospatiale,AS365N,2.0,Turbo Shaft,Unknown,Unknown,0.0,0.0,0.0,4.0,VMC,Probable Cause,Midwest,2005,4.0,0.0
59216,2005-08-01,AZ,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,2005,1.0,0.0
59229,2005-08-02,ME,United States,Incident,Unknown,Beech,1900D,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,9.0,VMC,Probable Cause,Northeast,2005,9.0,0.0
59234,2005-08-03,CO,United States,Incident,Minor,Airbus,A320-232,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,324.0,VMC,Probable Cause,West,2005,324.0,0.0
59235,2005-08-03,CO,United States,Incident,Minor,Airbus,A320-232,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,324.0,VMC,Probable Cause,West,2005,324.0,0.0
59291,2005-08-08,NJ,United States,Non-Fatal,Substantial,Embraer,EMB-145LR,2.0,Turbo Jet,121,Unknown,0.0,0.0,0.0,205.0,VMC,Probable Cause,Northeast,2005,205.0,0.0
59292,2005-08-08,NJ,United States,Non-Fatal,Substantial,Boeing,737-824,2.0,Turbo Jet,121,Unknown,0.0,0.0,0.0,205.0,VMC,Probable Cause,Northeast,2005,205.0,0.0
59362,2005-08-19,GU,United States,Non-Fatal,Substantial,Boeing,747-200,4.0,Turbo Fan,121,Unknown,0.0,0.0,2.0,338.0,VMC,Probable Cause,Unknown,2005,340.0,2.0
59373,2005-08-20,IL,United States,Non-Fatal,Substantial,Boeing,757-33N,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,171.0,VMC,Probable Cause,Midwest,2005,171.0,0.0
59430,2005-08-29,OR,United States,Non-Fatal,Minor,Airbus,A330-223,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,270.0,VMC,Probable Cause,West,2005,270.0,0.0
59489,2005-09-08,AS,Bahamas,Fatal(1),Substantial,Beech,BE-58,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,VMC,Foreign,Unknown,2005,1.0,1.0
59535,2005-09-15,CA,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,2005,1.0,0.0
59560,2005-09-18,FL,United States,Non-Fatal,Substantial,Airbus,A321-231,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,197.0,VMC,Probable Cause,South,2005,197.0,0.0
59584,2005-09-21,CA,United States,Incident,Minor,Airbus,A320,2.0,Turbo Jet,121,Unknown,0.0,0.0,0.0,146.0,VMC,Probable Cause,West,2005,146.0,0.0
59633,2005-10-01,WA,United States,Non-Fatal,Substantial,Beech,B-60,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,2005,1.0,0.0
59644,2005-10-03,RI,United States,Non-Fatal,Substantial,Beech,E-55,2.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Northeast,2005,2.0,0.0
59649,2005-10-03,VA,United States,Non-Fatal,Unknown,Embraer,170,2.0,Turbo Jet,Unknown,Unknown,0.0,1.0,0.0,44.0,VMC,Probable Cause,South,2005,45.0,1.0
59657,2005-10-05,FL,United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,135,Unknown,0.0,0.0,0.0,1.0,IMC,Probable Cause,South,2005,1.0,0.0
59681,2005-10-09,FL,United States,Non-Fatal,Destroyed,Beech,95-B55,2.0,Reciprocating,Unknown,Personal,0.0,1.0,2.0,0.0,VMC,Probable Cause,South,2005,3.0,3.0
59692,2005-10-12,AZ,United States,Non-Fatal,Substantial,Boeing,737-3H4,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,137.0,VMC,Probable Cause,West,2005,137.0,0.0
59695,2005-10-12,AZ,United States,Non-Fatal,Minor,Boeing,737-7H4,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,137.0,VMC,Probable Cause,West,2005,137.0,0.0
59717,2005-10-16,NY,United States,Non-Fatal,Substantial,Beech,1900D,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,Northeast,2005,3.0,0.0
59755,2005-10-22,AO,United States,Non-Fatal,Unknown,Boeing,737-832,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,2.0,147.0,VMC,Probable Cause,Unknown,2005,150.0,3.0
59756,2005-10-22,TX,United States,Non-Fatal,Unknown,Boeing,727-225,3.0,Turbo Fan,091,Positioning,0.0,1.0,0.0,4.0,VMC,Probable Cause,South,2005,5.0,1.0
59764,2005-10-26,CA,United States,Non-Fatal,Substantial,Learjet,25D,2.0,Turbo Jet,091,Positioning,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,2005,2.0,0.0
59828,2005-11-07,SC,United States,Non-Fatal,Substantial,Beech,BE-76,2.0,Reciprocating,091,Business,0.0,0.0,2.0,0.0,VMC,Probable Cause,South,2005,2.0,2.0
59833,2005-11-08,NH,United States,Non-Fatal,Destroyed,Embraer,110P1,2.0,Turbo Prop,135,Unknown,0.0,1.0,0.0,0.0,VMC,Probable Cause,Northeast,2005,1.0,1.0
59873,2005-11-19,PA,United States,Non-Fatal,Substantial,Boeing,737-800,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,127.0,VMC,Probable Cause,Northeast,2005,127.0,0.0
59894,2005-11-23,CO,United States,Incident,Minor,Beech,1900D,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,19.0,VMC,Probable Cause,West,2005,19.0,0.0
59907,2005-11-28,IL,United States,Non-Fatal,Substantial,Mcdonnell douglas,MD-10,3.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,5.0,VMC,Probable Cause,Midwest,2005,5.0,0.0
59909,2005-11-28,CO,United States,Incident,Minor,Embraer,EMB-120ER,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,7.0,VMC,Probable Cause,West,2005,7.0,0.0
59917,2005-12-01,MA,United States,Fatal(1),Destroyed,Beech,B-55,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,Northeast,2005,1.0,1.0
59932,2005-12-08,IL,United States,Fatal(1),Substantial,Boeing,737-700,2.0,Turbo Fan,Unknown,Unknown,1.0,1.0,21.0,85.0,IMC,Probable Cause,Midwest,2005,108.0,23.0
59937,2005-12-09,SC,United States,Non-Fatal,Substantial,Embraer,EMB-110P1,2.0,Turbo Prop,Unknown,Positioning,0.0,1.0,0.0,0.0,VMC,Probable Cause,South,2005,1.0,1.0
59962,2005-12-14,TN,United States,Non-Fatal,Substantial,Boeing,727-2S2F,3.0,Turbo Jet,Unknown,Unknown,0.0,1.0,0.0,3.0,VMC,Probable Cause,South,2005,4.0,1.0
59967,2005-12-15,TX,United States,Incident,Minor,Boeing,B737-924,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,176.0,VMC,Probable Cause,South,2005,176.0,0.0
59968,2005-12-15,TX,United States,Incident,Minor,Boeing,767-300ER,2.0,Turbo Jet,Unknown,Unknown,0.0,0.0,0.0,176.0,VMC,Probable Cause,South,2005,176.0,0.0
59978,2005-12-19,CA,United States,Non-Fatal,Substantial,Boeing,747-400,4.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,273.0,VMC,Probable Cause,West,2005,273.0,0.0
59985,2005-12-20,MA,United States,Incident,Minor,Boeing,717-200,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,91.0,VMC,Probable Cause,Northeast,2005,91.0,0.0
60015,2005-12-26,WA,United States,Non-Fatal,Substantial,Mcdonnell douglas,MD-83,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,142.0,VMC,Probable Cause,West,2005,142.0,0.0
60030,2005-12-28,CA,United States,Fatal(2),Destroyed,Learjet,35A,2.0,Turbo Fan,Unknown,Positioning,2.0,0.0,0.0,0.0,IMC,Probable Cause,West,2005,2.0,2.0
60046,2006-01-01,GA,United States,Fatal(2),Substantial,Beech,D55,2.0,Reciprocating,Unknown,Personal,2.0,3.0,0.0,0.0,IMC,Probable Cause,South,2006,5.0,5.0
60065,2006-01-05,MI,United States,Non-Fatal,Substantial,Beech,A100,2.0,Turbo Prop,Unknown,Positioning,0.0,0.0,0.0,3.0,IMC,Probable Cause,Midwest,2006,3.0,0.0
60104,2006-01-16,TX,United States,Fatal(1),Minor,Boeing,737-524,2.0,Turbo Jet,Unknown,Unknown,1.0,0.0,0.0,119.0,VMC,Probable Cause,South,2006,120.0,1.0
60116,2006-01-19,CO,United States,Incident,Minor,Boeing,B777-200B,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,184.0,IMC,Probable Cause,West,2006,184.0,0.0
60125,2006-01-21,GA,United States,Non-Fatal,Substantial,Beech,BE-76,2.0,Reciprocating,091,Personal,0.0,1.0,0.0,0.0,VMC,Probable Cause,South,2006,1.0,1.0
60176,2006-02-03,SC,United States,Fatal(6),Destroyed,Beech,200,2.0,Turbo Prop,Unknown,Personal,6.0,0.0,0.0,0.0,VMC,Probable Cause,South,2006,6.0,6.0
60189,2006-02-07,PA,United States,Non-Fatal,Destroyed,Douglas,DC-8,4.0,Turbo Fan,Unknown,Unknown,0.0,0.0,3.0,0.0,VMC,Probable Cause,Northeast,2006,3.0,3.0
60193,2006-02-08,TN,United States,Fatal(1),Destroyed,Swearingen,SA-226-TC,2.0,Turbo Prop,Unknown,Unknown,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,2006,1.0,1.0
60214,2006-02-15,FL,United States,Non-Fatal,Substantial,Beech,C90A,2.0,Turbo Prop,Unknown,Positioning,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,2006,1.0,0.0
60219,2006-02-16,AZ,United States,Non-Fatal,Substantial,Beech,95,2.0,Reciprocating,091,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,2006,2.0,0.0
60238,2006-02-20,WY,United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,West,2006,3.0,0.0
60243,2006-02-22,WA,United States,Fatal(1),Destroyed,Beech,58P,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,West,2006,1.0,1.0
60255,2006-02-25,MA,United States,Non-Fatal,Substantial,Boeing,757-232,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,146.0,VMC,Probable Cause,Northeast,2006,146.0,0.0
60258,2006-02-25,MO,United States,Non-Fatal,Substantial,Beech,95-55,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,Probable Cause,Midwest,2006,3.0,0.0
60267,2006-03-01,AK,United States,Non-Fatal,Substantial,Douglas,DC-3,2.0,Reciprocating,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,2006,1.0,0.0
60321,2006-03-15,NE,United States,Non-Fatal,Unknown,Boeing,757-222,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,0.0,97.0,VMC,Probable Cause,Midwest,2006,98.0,1.0
60326,2006-03-17,WV,United States,Fatal(1),Substantial,Beech,56TC,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,2006,1.0,1.0
60329,2006-03-18,MT,United States,Fatal(2),Substantial,Beech,C99,2.0,Turbo Prop,Unknown,Unknown,2.0,0.0,0.0,0.0,IMC,Probable Cause,West,2006,2.0,2.0
60349,2006-03-21,CO,United States,Incident,Minor,Mcdonnell douglas,DC-9-82,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,138.0,VMC,Probable Cause,West,2006,138.0,0.0
60409,2006-04-04,TN,United States,Non-Fatal,Substantial,Mcdonnell douglas,DC10,3.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,2006,3.0,0.0
60417,2006-04-05,CO,United States,Incident,Unknown,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,West,2006,1.0,0.0
60489,2006-04-16,FL,United States,Fatal(3),Destroyed,Beech,B-60,2.0,Reciprocating,Unknown,Personal,3.0,0.0,0.0,0.0,VMC,Probable Cause,South,2006,3.0,3.0
60529,2006-04-23,CO,United States,Incident,Minor,Boeing,747-400,4.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,401.0,VMC,Probable Cause,West,2006,401.0,0.0
60544,2006-04-25,TX,United States,Non-Fatal,Unknown,Boeing,777-233ER,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,0.0,253.0,VMC,Probable Cause,South,2006,254.0,1.0
60550,2006-04-27,NC,United States,Incident,Minor,Beech,C90A,2.0,Turbo Prop,Unknown,Executive/corporate,0.0,0.0,0.0,3.0,IMC,Probable Cause,South,2006,3.0,0.0
60583,2006-05-03,ia,Russia,Fatal(113),Destroyed,Airbus,A320,2.0,Turbo Fan,"Non-U.S., Commercial",Unknown,113.0,0.0,0.0,0.0,IMC,Foreign,Unknown,2006,113.0,113.0
60629,2006-05-12,MA,United States,Non-Fatal,Substantial,Embraer,EMB-145-LR,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,1.0,51.0,IMC,Probable Cause,Northeast,2006,52.0,1.0
60635,2006-05-13,VA,United States,Non-Fatal,Unknown,Embraer,145LR,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,0.0,45.0,IMC,Probable Cause,South,2006,46.0,1.0
60653,2006-05-17,OR,United States,Incident,Unknown,Boeing,757-222,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,189.0,VMC,Probable Cause,West,2006,189.0,0.0
60666,2006-05-18,AK,United States,Incident,Minor,Mcdonnell douglas,MD-83,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,145.0,VMC,Probable Cause,West,2006,145.0,0.0
60730,2006-05-28,es,United Arab Emirates,Incident,Minor,Airbus,A330,2.0,Turbo Fan,"Non-U.S., Commercial",Unknown,0.0,0.0,0.0,221.0,Unknown,Foreign,Unknown,2006,221.0,0.0
60748,2006-05-30,VA,United States,Non-Fatal,Substantial,Embraer,EMB-170,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,0.0,60.0,VMC,Probable Cause,South,2006,61.0,1.0
60771,2006-06-02,CA,United States,Incident,Substantial,Boeing,767-223(ER),2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,3.0,Unknown,Probable Cause,West,2006,3.0,0.0
60814,2006-06-08,NY,United States,Non-Fatal,Substantial,Boeing,737-300,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,143.0,VMC,Probable Cause,Northeast,2006,143.0,0.0
60824,2006-06-09,CO,United States,Incident,Minor,Mcdonnell douglas,MD-90-30,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,154.0,VMC,Probable Cause,West,2006,154.0,0.0
60838,2006-06-12,FL,United States,Fatal(1),Destroyed,Beech,65-A90-1,2.0,Turbo Prop,Unknown,Other Work Use,1.0,1.0,0.0,0.0,VMC,Probable Cause,South,2006,2.0,2.0
60861,2006-06-17,VA,United States,Non-Fatal,Substantial,Boeing,767-300,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,183.0,VMC,Probable Cause,South,2006,183.0,0.0
60884,2006-06-20,IL,United States,Non-Fatal,Substantial,Mcdonnell douglas,DC-9-83,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,136.0,VMC,Probable Cause,Midwest,2006,136.0,0.0
60899,2006-06-23,CT,United States,Non-Fatal,Substantial,Beech,C90,2.0,Turbo Prop,Unknown,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,Northeast,2006,2.0,0.0
60925,2006-06-27,CA,United States,Non-Fatal,Substantial,Beech,76,2.0,Reciprocating,091,Instructional,0.0,0.0,0.0,2.0,VMC,Probable Cause,West,2006,2.0,0.0
60996,2006-07-07,CO,United States,Non-Fatal,Unknown,Airbus,A319-131,2.0,Turbo Fan,Unknown,Unknown,0.0,1.0,0.0,110.0,VMC,Probable Cause,West,2006,111.0,1.0
61046,2006-07-15,CA,United States,Non-Fatal,Substantial,Learjet,55,2.0,Turbo Fan,135,Unknown,0.0,0.0,0.0,5.0,VMC,Probable Cause,West,2006,5.0,0.0
61072,2006-07-18,LA,United States,Fatal(3),Destroyed,Beech,BE58P,2.0,Reciprocating,Unknown,Business,3.0,0.0,0.0,0.0,IMC,Probable Cause,South,2006,3.0,3.0
61073,2006-07-19,VI,United States,Non-Fatal,Substantial,Douglas,DC-3,2.0,Reciprocating,Unknown,Positioning,0.0,0.0,1.0,3.0,VMC,Probable Cause,Unknown,2006,4.0,1.0
61112,2006-07-24,NJ,United States,Non-Fatal,Substantial,Embraer,EMB-135LR,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,16.0,VMC,Probable Cause,Northeast,2006,16.0,0.0
61132,2006-07-27,PA,United States,Non-Fatal,Substantial,Boeing,737-300,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,3.0,75.0,VMC,Probable Cause,Northeast,2006,78.0,3.0
61135,2006-07-27,IL,United States,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Unknown,Personal,0.0,1.0,0.0,0.0,IMC,Probable Cause,Midwest,2006,1.0,1.0
61145,2006-07-28,TN,United States,Non-Fatal,Substantial,Boeing,MD-10-10F,3.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,3.0,VMC,Probable Cause,South,2006,3.0,0.0
61151,2006-07-29,MO,United States,Fatal(6),Substantial,De havilland,DHC-6-100,2.0,Turbo Prop,091,Skydiving,6.0,2.0,0.0,0.0,VMC,Probable Cause,Midwest,2006,8.0,8.0
61193,2006-08-04,VT,United States,Fatal(1),Destroyed,Embraer,110P1,2.0,Turbo Prop,091,Positioning,1.0,0.0,0.0,0.0,IMC,Probable Cause,Northeast,2006,1.0,1.0
61215,2006-08-08,PR,United States,Non-Fatal,Substantial,Beech,BE-18,2.0,Reciprocating,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,Unknown,2006,2.0,0.0
61242,2006-08-13,RI,United States,Non-Fatal,Substantial,Beech,B100,2.0,Turbo Prop,091,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Northeast,2006,1.0,0.0
61290,2006-08-20,CA,United States,Incident,Minor,Mcdonnell douglas,DC-9-83,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,145.0,VMC,Probable Cause,West,2006,145.0,0.0
61293,2006-08-21,NJ,United States,Incident,Minor,Boeing,737-524,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,1.0,VMC,Probable Cause,Northeast,2006,1.0,0.0
61296,2006-08-22,CA,United States,Non-Fatal,Substantial,Beech,99,2.0,Turbo Prop,091,Skydiving,0.0,1.0,0.0,13.0,VMC,Probable Cause,West,2006,14.0,1.0
61341,2006-08-31,FL,United States,Incident,Minor,Boeing,737-400,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,118.0,VMC,Probable Cause,South,2006,118.0,0.0
61351,2006-09-02,TX,United States,Fatal(1),Destroyed,Beech,BE95 A-55,2.0,Reciprocating,Unknown,Personal,1.0,0.0,0.0,0.0,VMC,Probable Cause,South,2006,1.0,1.0
61370,2006-09-05,TX,United States,Non-Fatal,Substantial,Beech,B200,2.0,Turbo Prop,091,Positioning,0.0,0.0,0.0,1.0,VMC,Probable Cause,South,2006,1.0,0.0
61371,2006-09-05,PR,United States,Non-Fatal,Substantial,Boeing,B757-232,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,116.0,VMC,Probable Cause,Unknown,2006,116.0,0.0
61383,2006-09-08,NY,United States,Non-Fatal,Substantial,Embraer,EMB-170,2.0,Turbo Fan,121,Unknown,0.0,0.0,0.0,179.0,VMC,Probable Cause,Northeast,2006,179.0,0.0
61384,2006-09-08,NY,United States,Non-Fatal,Minor,Airbus,A319-112,2.0,Turbo Fan,129,Unknown,0.0,0.0,0.0,179.0,VMC,Probable Cause,Northeast,2006,179.0,0.0
61451,2006-09-22,SD,United States,Fatal(1),Substantial,Beech,BE-95-B55,2.0,Reciprocating,Unknown,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,Midwest,2006,1.0,1.0
61476,2006-09-27,AZ,United States,Non-Fatal,Substantial,Beech,95-55,2.0,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,West,2006,1.0,1.0
61486,2006-09-29,il,Brazil,Fatal(154),Minor,Embraer,E135 Legacy,2.0,Unknown,091,Ferry,154.0,0.0,0.0,7.0,IMC,Foreign,Unknown,2006,161.0,154.0
61487,2006-09-29,il,Brazil,Fatal(154),Destroyed,Boeing,737-800,2.0,Unknown,"Non-U.S., Commercial",Unknown,154.0,0.0,0.0,7.0,IMC,Foreign,Unknown,2006,161.0,154.0
